"101-56300-316","Hickman County Senior Citizens","10,000",
"101-58900-316","Hickman County Chamber of Commerce","25,000",
"101-58900-316","Women Are Safe","5,000",
"101-58900-316","Pleasantville Volunteer Fire Dept.","10,000",
"101-58900-316","Davis House Child Advocacy Center","10,000",
"101-58900-316","East Hickman Volunteer Fire Dept.","30,000",
"101-58900-316","Helping Hands","5,000",
"101-58900-316","Hickman Humane Society","5,000",
"101-58900-316","Shady Grove Community Center","10,000",
"101-58900-316","Bernard Community Club, Inc.","5,000",
"101-54420-316","Hickman County Rescue Squad","35,000",
","","$150,000",
"KNash","Wayne Thomason",
"Keith Nash, District 4","Michael Wayne Thomasson, District 3",
"BOARD ACTION: 16 Aye","Absent 5 Nay",
"ADOPTED:","st ATTEST: COUNTY",
"Mark A. Bentley","OFFICE Ran",
"Mark Bentley, Chairman","Casey Dorton, County Clerk SEAL",
"Mark A. Bentley","COUNTY",
"Mark Bentley, County Mayor","",
"47305-LIB COVID-19 Grant-Coronavirus Relief Fund","0","0","",
"47590 Other Federal Through State","2,401","0","0",
"47990 Other Direct Federal Revenue","0","0","0",
"Total Federal Through State","50,024","42,230","41,710",
"47600 DIRECT FEDERAL REVENUE","","","",
"47801 COVID-19 Grant(HHS Stimulus-Medicare)","27,030","0","0",
"47990 Other Direct Federal","1,125","0","0",
"Total Direct Federal","28,155","0","0",
"TOTAL FEDERAL GOVERNMENT","78,179","42,230","41,710",
"48000 OTHER GOVERNMENTS AND CITIZEN GROUPS","","","",
"48100 Other Governments","","","",
"48130 Contributions","42,000","44,000","47,000",
"48900 Other","","","",
"48990-LIB Other","1,500","0","",
"Total Other Governments","43,500","44,000","47,000",
"48600 Citizens Groups","","","",
"48610 Donations","0","0","0",
"48610-HOSP Donations-Ascension St. Thomas Hickman","0","0","5,000",
"48610-LIB Donations-Library","0","0","0",
"Total Citizen Groups","0","0","5,000",
"TOTAL OTHER GOVERNMENTS AND CITIZEN (","43,500","44,000","52,000",
"TOTAL ESIMATED REVENUES","13,568,878","12,921,721","13,066,848",
"Account No.","Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
"49000","ESTIMATED OTHER SOURCES (NON-REVENUE)","","","",
"49700","Insurance Recovery","42,017","40,000","40,000",
"49800","Transfers In","33,870","33,870","35,000",
","TOTAL ESTIMATED OTHER SOURCES (NON-R","75,887","73,870","75,000",
","TOTAL ESTIMATED REVENUES AND OTHER S","13,644,765","12,995,591","13,141,848",
","ESTIMATED EXPENDITURES","","","",
"51000","GENERAL ADMINISTRATION","","","",
"51100","County Commission","","","",
"191","Board and Committee Members Fees","50,200","50,400","50,400",
"215","On-behalf Payments to OPEB","0","0","0",
"301","Accounting Services","0","1,500","1,500",
"305","Audit Services","9,382","10,000","10,000",
"332","Legal Notices, Recording and Court Cost","4,446","4,500","4,500",
"355","Travel","0","2,500","2,500",
"399","Other Contracted Services","0","0","0",
"435","Office Supplies","0","0","0",
"51210","Board of Equalization","","","",
"191","Board and Committee Members Fees","2,550","3,500","3,500",
"51220","Beer Board","","","",
"533","Criminal Investigation of Applicants","70","1,000","1,000",
","Total County Commission","66,648","73,400","73,400",
"51300","County Mayor","","","",
"101","County Official","90,055","93,170","93,172",
"140","Salary Supplement","0","1,500","1,500",
"161","Secretary","30,000","31,154","32,100",
"169","Part-Time Personnel","0","0","0",
"186","Longevity","0","0","0",
"332","Legal Notices, Rec & Court Cost","505","1,200","1,200",
"355","Travel","2,320","5,000","4,000",
"399","Other Contracted Services","54,582","5,000","5,000",
"399-DA","Other Contracted Services-Direct Approp. Grant","0","0","15,500",
"435","Office Supplies","879","1,000","1,000",
"508","Premiums on Corp Surety Bonds","0","0","0",
"524","In-Service/Staff Development","910","1,500","1,500",
"719","Office Equipment","885","1,000","1,000",
","Total County Mayor","180,136","140,524","155,972",
"Account No.","Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
"51400","County Attorney","","","",
"331","Legal Services","9,821","10,000","10,000",
"599","Other Charges(Deductibles)","800","5,000","5,000",
","Total County Attorney","10,621","15,000","15,000",
"51500","Election Commission","","","",
"101","County Official","70,174","72,602","72,601",
"106","Deputy","29,789","30,935","31,871",
"169","Part-Time Personnel","13,948","17,000","17,000",
"186","Longevity Pay","0","0","0",
"192","Election Commission","2,240","5,400","5,400",
"193","Election Workers","23,767","55,000","10,000",
"317","Data Processing Services","3,045","4,500","4,500",
"332","Legal Notices, Rec and Court Costs","1,261","3,000","1,000",
"337","Maint and Repair-Office Equip","0","1,500","1,500",
"349","Printing Stationary and Forms","1,923","5,000","3,000",
"351","Rentals","550","3,000","1,000",
"355","Travel","1,353","4,500","3,000",
"399","Other Contracted Services","15,823","25,000","25,000",
"435","Office Supplies","2,440","4,000","4,000",
"508","Premiums on Surety Bond","0","100","100",
"719","Office Equipment","0","4,000","4,000",
","Total Election Commission","166,313","235,537","183,972",
"51600","Register of Deeds","","","",
"101","County Official","77,971","80,668","80,668",
"106","Deputy","27,514","30,954","31,893",
"140","Salary Supplement","1,799","3,375","3,375",
"162","Clerical Personnel","24,518","25,503","26,224",
"186","Longevity Pay","1,200","1,300","1,400",
"317","Data Processing Services","12,367","16,000","16,000",
"332","Legal Notices, Recording and Court Costs","0","22","22",
"337","Maint and Repair Services","974","2,500","2,500",
"355","Travel","1,009","1,500","1,500",
"399","Other Contracted Services","0","0","0",
"435","Office Supplies","976","1,200","1,500",
"508","Premiums on Surety Bond","0","0","0",
"524","In-Service/Staff Development","200","750","750",
"719","Office Equipment","906","2,000","2,000",
","Total Register of Deeds","149,434","165,772","167,832",
"51720","Planning","","","",
"105","Supervisor/Director","54,207","56,292","58,001",
"106","Deputy(s)","30,908","33,231","34,240",
"162","Clerical Personnel","21,003","25,014","25,773",
"169","Part-Time Personnel","0","0","0",
"Account No.","Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
"186","Longevity Pay","600","700","800",
"191","Board and Committee Member Fees","1,375","3,900","3,900",
"196","In-Service Training","0","2,500","2,500",
"312","Contracts with Private Agencies","13,500","13,500","13,500",
"317","Data Processing Service","1,872","2,700","2,700",
"331","Legal Services","4,926","5,000","5,000",
"332","Legal Notices, Recording & Court Costs","1,270","5,000","5,000",
"338","Maint and Repair Services-Vehicle","1,706","2,000","2,000",
"349","Printing, Stationary, and Forms","1,112","1,200","1,200",
"355","Travel","0","1,500","1,500",
"399","Other Contracted Services","5,992","21,500","21,500",
"425","Gasoline","1,709","3,000","3,000",
"435","Office Supplies","890","950","950",
"499","Other Supplies and Materials","1,238","800","800",
"508","Premiums on Surety Bond","0","0","0",
"524","In-Service/Staff Development","836","1,500","1,500",
"718","Motor Vehicles","0","0","0",
"719","Office Equipment","2,279","2,200","2,200",
"791","Other Construction","0","0","0",
","Total Planning","145,423","182,487","186,064",
"51800","County Buildings","","","",
"105","Facility Supervisor","49,968","51,890","53,466",
"166","Custodial Personnel","20,450","24,971","26,719",
"169","Part-Time Personnel","10,910","13,000","13,000",
"186","Longevity Pay","0","0","0",
"335","Maint and Repair-buildings","169,403","180,000","190,000",
"335-ADA","Maint and Repair-buildings(ADA)","318","0","3,000",
"335-DA","Maint and Repair-buildings(Direct Appropriations)","0","0","0",
"336","Maint and Repair-equipment","300","10,000","10,000",
"338","Maint and Repair-vehicle","1,182","3,000","3,000",
"355","Travel","341","500","500",
"410","Custodial Supplies","10,325","15,000","20,000",
"425","Gasoline","2,242","7,500","7,500",
"435","Office Supplies","0","1,000","1,000",
"451","Uniforms","2,914","3,000","3,000",
"599","Other Charges","182","1,000","1,000",
"718","Motor Vehicles","0","0","0",
","Total County Buildings","268,535","310,861","332,185",
"51810","Other Facilities","","","",
"307","Communication","152,020","110,000","140,000",
"347","Pest Control","6,500","7,000","7,000",
"359","Disposal Fee","0","1,000","1,000",
"415","Electricity","140,941","190,000","175,000",
"452","Utilities","78,549","120,000","105,000",
"Account No.","Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
","Total Other Facilities","378,010","428,000","428,000",
"51900","Other General Administration","","","",
"189","Other Salaries and Wages","79,181","79,181","82,349",
"334","Maintenance Agreements","13,940","17,000","14,000",
"336","Maintenance and Repair-Equipment","0","9,000","9,000",
"355","Travel","20","500","500",
"399","Other Contracted Services","15,112","9,000","9,000",
"435","Office Supplies","284","500","500",
"499","Other Supplies and Materials","131","500","500",
"524","In-Service/Staff Development","0","500","500",
"719","Office Equipment","12,135","5,000","5,000",
"719-DA","Office Equipment-Direct Appropriations","0","0","0",
","Total Other General Administration","120,803","121,181","121,349",
"51910","Preservation of Records","","","",
"140","Salary Supplement","1,500","1,500","1,500",
"162","Clerical Personnel","28,370","29,462","30,356",
"186","Longevity Pay","2,200","2,300","2,400",
"351","Rentals","0","0","0",
"355","Travel","197","350","150",
"399","Other Contracted Services","1,869","4,200","4,200",
"435","Office Supplies","290","350","350",
"499","Other Supplies and Materials","180","400","400",
"499-ADP","Other Supplies and Materials","3,643","0","0",
"524","In-Service/Staff Development","185","180","180",
